Zip Code,Median Listing Price,Active Listing Count
78521,234950.0,38.0
11375,399000.0,500.0
76179,343550.0,57.0
72401,164900.0,84.0
19143,185000.0,135.0
11372,395000.0,307.0
94112,1124500.0,17.0
91331,672500.0,28.0
27610,334500.0,42.0
91744,652000.0,19.0
90042,899499.5,45.0
92703,644500.0,12.0
11234,773500.0,220.0
93230,355000.0,68.0
11213,699000.0,82.0
33023,372500.0,66.0
92592,717950.0,55.0
94501,899888.0,11.0
77373,247450.0,102.0
93312,462450.0,34.0
60634,339000.0,120.0
78613,558000.0,54.0
60628,176250.0,159.0
90250,821999.5,21.0
10312,707500.0,91.0
85326,403000.0,89.0
92376,477900.0,39.0
11229,489000.0,263.0
30043,390000.0,176.0
27858,308495.0,37.0
23452,314450.0,49.0
07047,494000.0,157.0
20019,449500.0,79.0
30906,134950.0,55.0
94538,1039499.5,8.0
95624,671445.0,28.0
32765,555450.0,50.0
85364,259950.0,45.0
33027,282500.0,111.0
95076,1014500.0,25.0
28027,345000.0,45.0
11435,299000.0,115.0
21234,279950.0,50.0
77479,522000.0,100.0
11746,665848.0,80.0
89108,322500.0,119.0
79912,345000.0,71.0
75040,306000.0,34.0
60625,289444.0,106.0
77449,279999.5,81.0
93536,539950.0,238.0
30044,334950.0,112.0
06010,239950.0,65.0
30127,378190.5,209.0
93065,799950.0,25.0
60651,277449.5,56.0
75070,439950.0,25.0
60016,232450.0,116.0
92114,667500.0,26.0
60639,310950.0,34.0
93306,377434.5,51.0
74012,266950.0,30.0
91950,640000.0,14.0
20011,649250.0,153.0
29445,285600.0,35.0
23464,307950.0,65.0
10457,549900.0,16.0
92630,937450.0,19.0
33511,384500.0,28.0
93905,540000.0,4.0
42101,239900.0,87.0
77379,382000.0,107.0
92801,745000.0,12.0
78666,491633.5,129.0
95630,772000.0,56.0
80134,798063.5,49.0
75043,320000.0,36.0
11223,778500.0,78.0
60632,264700.0,32.0
19134,160000.0,231.0
94122,1428999.5,10.0
76137,326500.0,25.0
92345,452499.5,119.0
94015,998000.0,6.0
29072,343975.0,48.0
99654,472450.0,65.0
78577,235000.0,60.0
78250,246000.0,43.0
79936,230000.0,38.0
28314,165000.0,52.0
11210,699500.0,102.0
11218,539000.0,110.0
60657,379000.0,256.0
98682,522450.0,99.0
94544,782000.0,24.0
90001,540000.0,19.0
93535,414995.0,110.0
33125,364500.0,76.0
11432,407000.0,109.0
10452,214000.0,24.0
94587,837000.0,19.0
78254,424698.5,211.0
28173,646095.0,52.0
47906,325000.0,20.0
10469,579500.0,45.0
95035,1044975.0,15.0
92563,684000.0,57.0
23322,532200.0,117.0
78641,519563.5,130.0
90006,930000.0,28.0
94806,656250.0,24.0
76028,389900.0,60.0
28078,523285.0,62.0
77433,469990.0,146.0
85041,419450.0,47.0
33142,360000.0,60.0
92507,562500.0,31.0
32210,227450.0,92.0
33025,284500.0,76.0
48197,299850.0,48.0
92804,779900.0,20.0
30281,300000.0,110.0
95355,487500.0,29.0
93033,599949.5,9.0
20874,349949.5,32.0
87114,350000.0,37.0
92115,794500.0,21.0
60647,492450.0,123.0
10032,599000.0,82.0
90066,1625000.0,27.0
21122,399900.0,74.0
75227,287500.0,18.0
85225,446500.0,35.0
77083,267500.0,50.0
11691,608500.0,33.0
85122,359445.0,101.0
93274,369500.0,43.0
33157,539950.0,87.0
75002,478250.0,36.0
33411,434950.0,98.0
75243,357000.0,33.0
90003,577000.0,17.0
63376,267450.0,25.0
11385,854000.0,59.0
85204,407450.0,22.0
78245,349421.0,188.0
27587,532000.0,69.0
77494,467500.0,96.0
