,zipcode,city,county,population,medianprice,activelistingcount,avgprice,totalrentals,ratio,latitudes,longitudes
0,94015,Daly City,San Mateo County,65041,998000.0,6,2690.89,84,30.91,37.6787,-122.478
1,75243,Dallas,Dallas County,68308,357000.0,33,1985.17,357,14.99,32.9103,-96.7285
2,11372,Jackson Heights,Queens County,62854,395000.0,307,2840.75,104,11.59,40.7513,-73.883
3,78254,San Antonio,Bexar County,59107,424698.5,211,1553.66,330,22.78,29.5551,-98.7442
4,90042,Los Angeles,Los Angeles County,63193,899499.5,45,3922.36,159,19.11,34.1145,-118.1929
5,23452,Virginia Beach,Virginia Beach City County,58996,314450.0,49,1379.29,28,19.0,36.8348,-76.0961
6,77494,Katy,Fort Bend County,118291,467500.0,96,2454.53,748,15.87,29.7404,-95.8304
7,75040,Garland,Dallas County,62417,306000.0,34,1657.06,130,15.39,32.9227,-96.6248
8,95624,Elk Grove,Sacramento County,65948,671445.0,28,2217.23,79,25.24,38.4232,-121.3599
9,98682,Vancouver,Clark County,60887,522450.0,99,1943.27,93,22.4,45.6644,-122.5212
10,92592,Temecula,Riverside County,84930,717950.0,55,3013.54,190,19.85,33.4983,-117.0958
11,85122,Casa Grande,Pinal County,58724,359445.0,101,1560.41,195,19.2,32.8905,-111.754
12,11213,Brooklyn,Kings County,67056,699000.0,82,4046.05,479,14.4,40.67,-73.9367
13,85225,Chandler,Maricopa County,70356,446500.0,35,1995.28,274,18.65,33.3105,-111.8239
14,19134,Philadelphia,Philadelphia County,62087,160000.0,231,1327.31,274,10.05,39.9925,-75.1133
15,33142,Miami,Miami-Dade County,59073,360000.0,60,2883.6,74,10.4,25.813,-80.232
16,95076,Watsonville,Santa Cruz County,86905,1014500.0,25,2924.1,23,28.91,36.9102,-121.7569
17,92115,San Diego,San Diego County,64343,794500.0,21,5030.36,269,13.16,32.7607,-117.0721
18,30127,Powder Springs,Cobb County,70298,378190.5,209,1772.6,222,17.78,33.9135,-84.6859
19,20019,Washington,District Of Columbia County,63829,449500.0,79,1785.6,7,20.98,38.8902,-76.9376
20,78250,San Antonio,Bexar County,61669,246000.0,43,1401.07,192,14.63,29.5054,-98.6688
21,94544,Hayward,Alameda County,79747,782000.0,24,3839.13,99,16.97,37.6374,-122.067
22,28027,Concord,Cabarrus County,68716,345000.0,45,1831.54,279,15.7,35.4141,-80.6162
23,20874,Germantown,Montgomery County,61087,349949.5,32,1931.84,343,15.1,39.1355,-77.2822
24,93033,Oxnard,Ventura County,84701,599949.5,9,2391.08,54,20.91,34.1685,-119.1717
25,11223,Brooklyn,Kings County,81388,778500.0,78,2290.94,109,28.32,40.5979,-73.9743
26,20011,Washington,District Of Columbia County,69710,649250.0,153,2400.22,9,22.54,38.9518,-77.0203
27,48197,Ypsilanti,Washtenaw County,68108,299850.0,48,2047.16,207,12.21,42.2325,-83.6336
28,79936,El Paso,El Paso County,111620,230000.0,38,1462.14,193,13.11,31.7677,-106.3016
29,30044,Lawrenceville,Gwinnett County,89139,334950.0,112,1951.85,222,14.3,33.9418,-84.0706
30,60647,Chicago,Cook County,87633,492450.0,123,2862.12,1839,14.34,41.9209,-87.7043
31,93535,Lancaster,Los Angeles County,74264,414995.0,110,1996.48,56,17.32,34.7131,-117.8783
32,60016,Des Plaines,Cook County,59291,232450.0,116,2063.8,172,9.39,42.0467,-87.8859
33,11229,Brooklyn,Kings County,83119,489000.0,263,3673.18,138,11.09,40.6011,-73.9475
34,33023,Hollywood,Broward County,73973,372500.0,66,3403.2,144,9.12,25.9894,-80.2153
35,77379,Spring,Harris County,81368,382000.0,107,2067.02,252,15.4,30.0377,-95.5326
36,89108,Las Vegas,Clark County,73991,322500.0,119,1897.78,212,14.16,36.2044,-115.2233
37,29072,Lexington,Lexington County,60908,343975.0,48,1495.13,113,19.17,33.9724,-81.2359
38,27610,Raleigh,Wake County,79924,334500.0,42,1517.89,416,18.36,35.7667,-78.6008
39,33157,Miami,Miami-Dade County,67455,539950.0,87,6314.09,194,7.13,25.6062,-80.3426
40,94806,San Pablo,Contra Costa County,64286,656250.0,24,2869.52,46,19.06,37.9724,-122.3369
41,10312,Staten Island,Richmond County,61392,707500.0,91,1923.37,66,30.65,40.5457,-74.1792
42,91331,Pacoima,Los Angeles County,105458,672500.0,28,2476.37,30,22.63,34.2556,-118.4208
43,92376,Rialto,San Bernardino County,86085,477900.0,39,2027.39,40,19.64,34.1132,-117.3771
44,60657,Chicago,Cook County,70958,379000.0,256,6001.41,3255,5.26,41.9399,-87.6528
45,77479,Sugar Land,Fort Bend County,93848,522000.0,100,2554.11,511,17.03,29.5785,-95.6066
46,85204,Mesa,Maricopa County,67924,407450.0,22,1775.29,133,19.13,33.3992,-111.7896
47,10457,Bronx,Bronx County,74822,549900.0,16,2261.01,56,20.27,40.8486,-73.8999
48,93065,Simi Valley,Ventura County,71832,799950.0,25,3170.98,78,21.02,34.2656,-118.7653
49,32765,Oviedo,Seminole County,64268,555450.0,50,8943.04,277,5.18,28.6513,-81.2066
50,11385,Ridgewood,Queens County,107796,854000.0,59,2881.37,422,24.7,40.7036,-73.8961
51,75070,McKinney,Collin County,104415,439950.0,25,2191.78,608,16.73,33.1976,-96.6153
