zipcode,avgprice,totalrentals
20019,1785.6,7
11435,2799.21,178
93536,2375.31,80
78577,1477.23,118
93312,1992.15,81
28027,1831.54,279
11372,2840.75,104
92804,2617.05,95
92376,2027.39,40
94538,2629.53,131
60016,2063.8,172
33157,6314.09,194
93274,1401.75,30
90042,3922.36,159
74012,1346.3,132
78641,1963.23,646
30044,1951.85,222
77449,1673.83,779
11432,3241.68,127
77494,2454.53,748
10452,2088.3,27
85326,1863.55,241
92801,2328.24,94
77083,1456.51,213
92507,3053.23,132
78521,1089.33,81
75227,1249.43,121
72401,954.06,142
87114,1812.28,103
89108,1897.78,212
78254,1553.66,330
85122,1560.41,195
60628,1279.79,135
90066,5216.47,304
47906,2032.22,361
21234,1607.82,89
27610,1517.89,416
60634,1992.41,121
78613,2400.86,826
27858,1458.11,222
11691,2229.78,82
11385,2881.37,422
78245,1481.71,427
76179,1753.77,393
20011,2400.22,9
92630,3939.71,122
60632,1587.87,59
28078,1954.81,270
90001,2303.77,22
76137,1855.04,561
60657,6001.41,3255
94806,2869.52,46
33411,3043.3,496
23452,1379.29,28
76028,1665.84,273
30906,1012.35,147
95624,2217.23,79
63376,1532.05,60
75040,1657.06,130
29445,1562.99,162
91950,2483.08,67
93065,3170.98,78
77379,2067.02,252
85225,1995.28,274
90250,2502.51,203
95355,2003.22,72
92592,3013.54,190
95076,2924.1,23
10457,2261.01,56
42101,1080.35,91
11375,4127.23,408
79912,1779.44,215
27587,1867.11,201
95035,2949.62,131
33142,2883.6,74
10032,2975.05,529
92114,2658.84,38
10312,1923.37,66
93535,1996.48,56
93230,1418.37,50
90006,2575.4,238
33125,2614.46,179
11210,2286.99,96
92703,2661.16,22
33511,2116.6,600
95630,2397.45,151
19143,1999.97,326
93306,1464.68,53
94587,2866.63,69
11229,3673.18,138
30043,2257.98,274
98682,1943.27,93
92563,2641.92,155
11746,4146.61,42
94122,3904.86,161
11234,10307.1,152
92115,5030.36,269
33023,3403.2,144
11223,2290.94,109
48197,2047.16,207
75243,1985.17,357
94112,3855.7,78
28314,1222.21,294
30281,1816.39,253
21122,2053.22,44
78250,1401.07,192
94544,3839.13,99
23464,1325.07,34
90003,4088.0,68
32765,8943.04,277
93033,2391.08,54
19134,1327.31,274
60651,1394.89,166
94015,2690.89,84
75002,2291.62,237
77373,1616.33,357
93905,2387.4,13
85204,1775.29,133
91331,2476.37,30
85364,1591.11,116
60639,1580.9,205
92345,1735.61,52
60647,2862.12,1839
11213,4046.05,479
79936,1462.14,193
23322,2163.07,14
99654,1625.57,143
78666,1546.29,368
75070,2191.78,608
29072,1495.13,113
94501,2942.03,216
75043,1905.66,193
32210,1316.69,573
77433,2066.35,457
11218,3471.17,313
77479,2554.11,511
80134,2443.24,148
10469,2183.18,83
91744,2283.42,26
20874,1931.84,343
60625,2162.18,1181
33027,3113.45,440
28173,2152.45,143
30127,1772.6,222
85041,1754.91,218
33025,2656.95,1057
